iter	Passed	Remaining
0	2	265
1	5	254
2	7	233
3	9	220
4	11	214
5	13	206
6	15	200
7	17	197
8	18	190
9	20	185
10	22	180
11	24	178
12	25	173
13	27	169
14	29	165
15	31	163
16	33	161
17	34	159
18	36	156
19	38	153
20	39	150
21	41	147
22	42	143
23	44	141
24	46	138
25	47	136
26	49	133
27	50	130
28	52	127
29	53	124
30	54	121
31	55	118
32	57	115
33	58	113
34	59	110
35	60	108
36	61	105
37	63	102
38	64	100
39	65	98
40	66	96
41	67	93
42	69	91
43	69	88
44	71	87
45	72	85
46	73	83
47	74	81
48	76	79
49	77	77
50	78	75
51	79	73
52	80	71
53	81	69
54	83	68
55	84	66
56	85	64
57	86	62
58	87	60
59	88	59
60	89	57
61	91	55
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	97	45
68	98	44
69	99	42
70	100	41
71	101	39
72	102	37
73	103	36
74	104	34
75	105	33
76	106	31
77	107	30
78	107	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	19
85	114	18
86	114	17
87	115	15
88	116	14
89	117	13
90	117	11
91	118	10
92	119	9
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
