iter	Passed	Remaining
0	2	2555
1	5	2499
2	7	2640
3	10	2569
4	12	2535
5	14	2466
6	17	2442
7	18	2337
8	20	2240
9	22	2256
10	24	2232
11	27	2283
12	30	2311
13	32	2303
14	34	2279
15	36	2267
16	39	2259
17	41	2274
18	44	2309
19	47	2347
20	50	2356
21	52	2346
22	54	2312
23	57	2354
24	60	2342
25	62	2339
26	65	2346
27	67	2331
28	68	2294
29	70	2281
30	73	2291
31	75	2297
32	78	2304
33	80	2298
34	83	2299
35	86	2304
36	88	2310
37	91	2319
38	96	2378
39	99	2378
40	101	2381
41	104	2381
42	106	2375
43	109	2377
44	111	2375
45	114	2375
46	116	2357
47	118	2352
48	121	2354
49	123	2342
50	126	2350
51	128	2347
52	131	2346
53	133	2346
54	137	2354
55	139	2354
56	142	2351
57	144	2348
58	146	2340
59	150	2356
60	153	2361
61	155	2359
62	159	2367
63	161	2365
64	164	2364
65	166	2360
66	169	2358
67	172	2360
68	174	2356
69	177	2354
70	179	2345
71	181	2342
72	184	2345
73	186	2332
74	188	2325
75	191	2324
76	193	2313
77	194	2296
78	197	2299
79	200	2300
80	203	2305
81	206	2306
82	207	2287
83	209	2288
84	211	2275
85	214	2284
86	217	2280
87	219	2273
88	221	2266
89	224	2266
90	227	2268
91	229	2263
92	232	2263
93	234	2262
94	237	2260
95	239	2259
96	243	2263
97	245	2263
98	248	2257
99	249	2248
100	252	2249
101	255	2252
102	258	2251
103	260	2247
104	262	2240
105	265	2236
106	267	2235
107	270	2232
108	273	2233
109	274	2222
110	276	2214
111	279	2212
112	280	2201
113	283	2200
114	286	2200
115	288	2196
116	290	2189
117	291	2181
118	294	2181
119	297	2181
120	300	2182
121	302	2174
122	304	2173
123	317	2245
124	320	2246
125	323	2241
126	325	2239
127	328	2236
128	331	2235
129	334	2237
130	337	2236
131	339	2232
132	342	2229
133	345	2233
134	348	2231
135	351	2233
136	354	2232
137	356	2229
138	361	2236
139	364	2239
140	367	2237
141	368	2228
142	371	2225
143	374	2225
144	377	2224
145	380	2225
146	382	2220
147	384	2214
148	386	2206
149	389	2206
150	392	2206
151	395	2206
152	397	2200
153	399	2195
154	402	2194
155	405	2193
156	408	2191
157	410	2190
158	414	2190
159	417	2191
160	419	2186
161	422	2187
162	425	2186
163	428	2183
164	430	2176
165	431	2169
166	433	2162
167	435	2155
168	437	2151
169	439	2146
170	441	2140
171	444	2138
172	445	2130
173	447	2122
174	449	2118
175	451	2113
176	454	2112
177	457	2110
178	460	2113
179	463	2113
180	466	2112
181	470	2112
182	472	2110
183	476	2111
184	478	2109
185	481	2106
186	484	2108
187	488	2110
188	491	2107
189	494	2106
190	496	2102
191	499	2103
192	502	2101
193	505	2099
194	507	2095
195	509	2090
196	512	2087
197	513	2081
198	516	2077
199	518	2074
200	521	2071
201	524	2073
202	527	2071
203	530	2070
204	532	2066
205	535	2064
206	538	2062
207	541	2060
208	544	2059
209	547	2058
210	549	2053
211	551	2050
212	554	2050
213	557	2047
214	560	2045
215	562	2043
216	565	2040
217	568	2038
218	571	2039
219	574	2036
220	575	2029
221	577	2024
222	579	2020
223	582	2018
224	588	2026
225	591	2024
226	593	2022
227	596	2019
228	599	2016
229	602	2015
230	605	2014
231	607	2012
232	610	2010
233	613	2008
234	616	2007
235	619	2005
236	621	2001
237	624	1999
238	627	1996
239	629	1993
240	632	1991
241	635	1989
242	638	1988
243	641	1986
244	644	1984
245	647	1983
246	650	1981
247	651	1976
248	654	1973
249	656	1969
250	658	1965
251	660	1961
252	663	1958
253	665	1954
254	668	1953
255	669	1946
256	670	1939
257	672	1935
258	674	1929
259	676	1924
260	678	1919
261	681	1918
262	683	1914
263	685	1911
264	687	1906
265	689	1903
266	692	1901
267	694	1897
268	698	1897
269	700	1894
270	702	1890
271	704	1886
272	706	1882
273	709	1879
274	711	1876
275	714	1874
276	716	1871
277	719	1867
278	721	1864
279	724	1861
280	725	1857
281	728	1855
282	731	1854
283	734	1851
284	736	1848
285	739	1846
286	741	1841
287	744	1839
288	746	1835
289	748	1831
290	750	1828
291	752	1825
292	755	1822
293	758	1820
294	760	1818
295	763	1815
296	766	1813
297	768	1810
298	771	1808
299	774	1806
300	776	1802
301	779	1801
302	782	1799
303	784	1796
304	786	1793
305	789	1789
306	790	1785
307	793	1782
308	795	1779
309	798	1777
310	800	1774
311	803	1771
312	806	1770
313	809	1768
314	811	1765
315	814	1762
316	816	1758
317	819	1757
318	821	1754
319	824	1752
320	827	1749
321	829	1746
322	832	1744
323	835	1742
324	838	1740
325	840	1738
326	843	1736
327	845	1732
328	848	1730
329	849	1725
330	852	1723
331	855	1721
332	858	1719
333	861	1716
334	864	1715
335	866	1712
336	869	1710
337	872	1708
338	874	1704
339	877	1703
340	880	1701
341	883	1699
342	885	1696
343	888	1694
344	890	1691
345	893	1689
346	896	1687
347	899	1684
348	902	1683
349	905	1681
350	908	1679
351	911	1677
352	914	1676
353	918	1675
354	920	1672
355	923	1670
356	927	1669
357	930	1668
358	933	1666
359	935	1663
360	938	1661
361	941	1659
362	944	1657
363	947	1655
364	949	1652
365	952	1650
366	955	1648
367	958	1646
368	961	1644
369	963	1640
370	966	1638
371	969	1636
372	971	1633
373	974	1630
374	977	1629
375	980	1627
376	983	1624
377	984	1620
378	987	1618
379	990	1616
380	993	1613
381	996	1612
382	998	1608
383	1001	1605
384	1003	1603
385	1006	1601
386	1010	1601
387	1012	1596
388	1014	1593
389	1015	1589
390	1017	1584
391	1019	1580
392	1021	1578
393	1027	1580
394	1029	1576
395	1031	1573
396	1033	1569
397	1034	1565
398	1036	1561
399	1038	1557
400	1040	1554
401	1042	1550
402	1043	1545
403	1044	1540
404	1046	1537
405	1047	1532
406	1049	1528
407	1050	1523
408	1051	1519
409	1052	1514
410	1054	1511
411	1056	1507
412	1057	1503
413	1059	1499
414	1061	1496
415	1063	1493
416	1065	1489
417	1067	1486
418	1070	1483
419	1072	1480
420	1075	1478
421	1077	1476
422	1080	1473
423	1082	1471
424	1084	1467
425	1086	1464
426	1088	1460
427	1090	1457
428	1092	1453
429	1094	1450
430	1096	1447
431	1098	1444
432	1100	1440
433	1102	1437
434	1103	1433
435	1105	1430
436	1108	1427
437	1110	1424
438	1112	1421
439	1113	1417
440	1116	1414
441	1118	1411
442	1120	1408
443	1122	1405
444	1125	1403
445	1128	1401
446	1130	1398
447	1133	1396
448	1135	1392
449	1136	1389
450	1138	1385
451	1141	1383
452	1143	1380
453	1146	1378
454	1148	1375
455	1151	1373
456	1153	1371
457	1156	1368
458	1159	1366
459	1161	1362
460	1163	1359
461	1165	1357
462	1168	1355
463	1171	1353
464	1173	1350
465	1176	1347
466	1179	1345
467	1182	1344
468	1185	1341
469	1188	1339
470	1191	1337
471	1194	1335
472	1197	1333
473	1199	1331
474	1202	1329
475	1205	1327
476	1208	1325
477	1211	1322
478	1214	1320
479	1216	1317
480	1217	1313
481	1220	1311
482	1223	1309
483	1224	1305
484	1226	1302
485	1228	1298
486	1229	1295
487	1231	1292
488	1234	1290
489	1236	1287
490	1239	1284
491	1241	1281
492	1242	1278
493	1244	1274
494	1246	1271
495	1248	1268
496	1251	1266
497	1253	1263
498	1255	1260
499	1256	1256
500	1259	1254
501	1262	1252
502	1265	1250
503	1268	1247
504	1271	1245
505	1274	1243
506	1276	1241
507	1279	1238
508	1281	1236
509	1284	1234
510	1287	1232
511	1290	1230
512	1293	1227
513	1295	1224
514	1297	1222
515	1300	1219
516	1302	1217
517	1305	1214
518	1307	1212
519	1309	1209
520	1312	1206
521	1315	1204
522	1317	1201
523	1320	1199
524	1322	1196
525	1325	1194
526	1327	1191
527	1330	1189
528	1333	1186
529	1335	1184
530	1338	1181
531	1340	1179
532	1343	1177
533	1346	1174
534	1348	1172
535	1351	1169
536	1353	1167
537	1355	1163
538	1358	1161
539	1360	1159
540	1363	1156
541	1366	1154
542	1368	1151
543	1369	1147
544	1371	1145
545	1374	1142
546	1376	1140
547	1379	1137
548	1381	1135
549	1384	1132
550	1387	1130
551	1389	1127
552	1391	1125
553	1394	1122
554	1397	1120
555	1399	1117
556	1402	1115
557	1405	1113
558	1408	1110
559	1410	1108
560	1413	1105
561	1416	1103
562	1418	1101
563	1421	1098
564	1424	1096
565	1427	1094
566	1430	1092
567	1433	1090
568	1436	1087
569	1439	1085
570	1441	1083
571	1443	1080
572	1446	1078
573	1449	1075
574	1451	1073
575	1454	1070
576	1457	1068
577	1459	1065
578	1462	1063
579	1465	1061
580	1467	1058
581	1470	1056
582	1474	1054
583	1477	1052
584	1479	1049
585	1482	1047
586	1485	1045
587	1488	1042
588	1490	1040
589	1493	1037
590	1495	1035
591	1498	1032
592	1501	1030
593	1503	1027
594	1505	1024
595	1508	1022
596	1510	1019
597	1513	1017
598	1515	1014
599	1518	1012
600	1521	1010
601	1524	1007
602	1526	1004
603	1529	1002
604	1531	999
605	1534	997
606	1537	995
607	1540	992
608	1542	990
609	1544	987
610	1547	985
611	1549	982
612	1552	980
613	1555	977
614	1558	975
615	1560	972
616	1562	969
617	1565	967
618	1567	964
619	1568	961
620	1570	958
621	1572	955
622	1575	953
623	1577	950
624	1580	948
625	1582	945
626	1585	942
627	1587	940
628	1589	937
629	1592	935
630	1594	932
631	1595	929
632	1597	926
633	1599	923
634	1601	920
635	1603	917
636	1606	915
637	1608	912
638	1610	909
639	1612	907
640	1614	904
641	1615	901
642	1617	897
643	1618	894
644	1620	892
645	1621	888
646	1623	885
647	1624	882
648	1626	879
649	1629	877
650	1631	874
651	1634	872
652	1636	869
653	1638	867
654	1641	864
655	1644	862
656	1646	859
657	1649	857
658	1651	854
659	1654	852
660	1655	849
661	1658	846
662	1660	844
663	1663	841
664	1666	839
665	1668	836
666	1671	834
667	1673	831
668	1676	829
669	1678	826
670	1681	824
671	1684	822
672	1687	819
673	1689	817
674	1692	815
675	1696	813
676	1698	810
677	1701	807
678	1704	805
679	1706	803
680	1709	800
681	1712	798
682	1715	796
683	1718	793
684	1721	791
685	1724	789
686	1727	787
687	1729	784
688	1732	781
689	1735	779
690	1738	777
691	1740	774
692	1744	772
693	1747	770
694	1750	768
695	1753	765
696	1756	763
697	1758	760
698	1760	757
699	1763	755
700	1766	753
701	1769	750
702	1772	748
703	1774	746
704	1776	743
705	1778	740
706	1780	738
707	1783	735
708	1786	733
709	1789	731
710	1791	728
711	1795	726
712	1797	723
713	1800	721
714	1803	719
715	1806	716
716	1809	714
717	1812	711
718	1815	709
719	1818	707
720	1820	704
721	1823	702
722	1826	699
723	1829	697
724	1832	694
725	1834	692
726	1836	689
727	1839	687
728	1842	684
729	1845	682
730	1848	680
731	1851	677
732	1854	675
733	1856	672
734	1859	670
735	1862	667
736	1864	665
737	1867	663
738	1870	660
739	1872	658
740	1875	655
741	1877	652
742	1879	650
743	1882	647
744	1884	645
745	1887	642
746	1890	640
747	1892	637
748	1895	635
749	1897	632
750	1899	629
751	1902	627
752	1904	624
753	1907	622
754	1910	619
755	1912	617
756	1914	614
757	1917	612
758	1920	609
759	1922	607
760	1924	604
761	1926	601
762	1928	599
763	1931	596
764	1934	594
765	1936	591
766	1939	589
767	1942	586
768	1945	584
769	1947	581
770	1950	579
771	1953	576
772	1955	574
773	1957	571
774	1960	569
775	1963	566
776	1965	564
777	1968	561
778	1971	559
779	1973	556
780	1976	554
781	1978	551
782	1981	549
783	1983	546
784	1985	543
785	1987	541
786	1990	538
787	1993	536
788	1995	533
789	1997	531
790	1999	528
791	2002	525
792	2005	523
793	2007	520
794	2010	518
795	2013	515
796	2015	513
797	2018	510
